Layer Name,Op Type,Input Shape,Output Shape,Parameters,FLOPs,Memory (bytes),Latency (ms),% Params,% FLOPs
unnamed_0,Conv,"[1, 3, 224, 224]",,0,236027904,504064,0.0024,0.00,20.25
unnamed_1,BatchNormalization,,,0,1605632,2389,0.0000,0.00,0.14
unnamed_2,Relu,,,0,802816,0,0.0000,0.00,0.07
unnamed_3,MaxPool,,,0,200704,0,0.0000,0.00,0.02
unnamed_4,Conv,,,0,462422016,504064,0.0046,0.00,39.68
unnamed_5,BatchNormalization,,,0,802816,2389,0.0000,0.00,0.07
unnamed_6,Relu,,,0,401408,0,0.0000,0.00,0.03
unnamed_7,Conv,,,0,462422016,504064,0.0046,0.00,39.68
unnamed_8,BatchNormalization,,,0,401408,2389,0.0000,0.00,0.03
unnamed_9,Relu,,,0,200704,0,0.0000,0.00,0.02
unnamed_10,GlobalAveragePool,,,0,256,0,0.0000,0.00,0.00
unnamed_11,Flatten,,,0,256,0,0.0000,0.00,0.00
unnamed_12,Gemm,,"[1, 1000]",0,1000,50180000,0.0000,0.00,0.00
